,Year,Type,Country,Sex ,Age,Fatal (Y/N),Month,Day,date_clean,Age_clean,Species_clean_2,Time_clean,Activity_clean_1,Activity_clean_2
3166,1976,Boat,south africa,,,N,10,27,1976-10-27,,white shark,P.M.,,Other
3167,1976,Unprovoked,usa,M,25,N,10,18,1976-10-18,25.0,white shark,,surfing,surfing
3168,1976,Unprovoked,south africa,M,20,N,10,06,1976-10-06,20.0,white shark,P.M.,surfing,surfing
3169,1976,Sea Disaster,new caledonia,,,N,09,22,1976-09-22,,other/NA,P.M.,,Other
3170,1976,Unprovoked,australia,M,27,N,09,19,1976-09-19,27.0,other/NA,,skindiving,Other
3171,1976,Sea Disaster,hong kong,M,,Y,09,17,1976-09-17,,other/NA,P.M.,,Other
3172,1976,Unprovoked,usa,M,16,Y,09,12,1976-09-12,16.0,other/NA,,swimming,swimming
3173,1976,Unprovoked,usa,M,,Y,09,12,1976-09-12,,other/NA,,swimming,swimming
3174,1976,Unprovoked,usa,M,15,N,09,06,1976-09-06,15.0,tiger shark,P.M.,surfing,surfing
3175,1976,Unprovoked,usa,M,23,N,08,26,1976-08-26,23.0,other/NA,,surfing,surfing
3176,1976,Unprovoked,usa,M,19,N,08,24,1976-08-24,19.0,white shark,,surfing,surfing
3177,1976,Unprovoked,usa,M,24,N,07,24,1976-07-24,24.0,other/NA,A.M.,spearfishing,spearfishing
3178,1976,Unprovoked,usa,M,10,N,07,21,1976-07-21,10.0,other/NA,A.M.,playing,Other
3179,1976,Unprovoked,usa,M,18,Y,07,16,1976-07-16,18.0,other/NA,,scuba diving,scuba diving
3180,1976,Unprovoked,usa,M,23,N,07,12,1976-07-12,23.0,other/NA,,spearfishing,spearfishing
3181,1976,Unprovoked,usa,M,17,N,06,23,1976-06-23,17.0,other/NA,,skindiving,Other
3182,1976,Unprovoked,usa,M,,N,06,10,1976-06-10,,other/NA,,swimming,swimming
3183,1976,Provoked,italy,M,46,N,06,02,1976-06-02,46.0,other/NA,P.M.,fishing,fishing
3184,1976,Boat,australia,F,,N,06,01,1976-06-01,,other/NA,,sitting,Other
